Cluster_No,Top_5_words
15," ""business"", ""product"", ""data"", ""team"", ""technical"""
2,"""product"", ""data"", ""team"", ""technical"", ""business"""
14,"""business"", ""product"", ""data"", ""team"", ""technical"""
10," ""partners"", ""bv"", ""account"", ""portfolio"", ""hotel"""
1,"""product"", ""data"", ""team"", ""technical"", ""business"""
13," ""product"", ""data"", ""team"", ""technical"", ""business"""
11,"""insurance"", ""ll"", ""love"", ""customers"", ""customer"""
8,"""business"", ""product"", ""data"", ""team"", ""technical"""
5,"""business"", ""product"", ""data"", ""team"", ""technical"""
9," ""business"", ""product"", ""data"", ""team"", ""technical"""
7," ""product"", ""data"", ""team"", ""technical"", ""business"""
4,"""business"", ""product"", ""data"", ""team"", ""technical"""
3,"""business"", ""partners"", ""bv"", ""account"", ""portfolio"""
12,"""product"", ""data"", ""team"", ""technical"", ""business"""
6,"""product"", ""data"", ""team"", ""technical"", ""business"""
0,"""product"", ""data"", ""team"", ""technical"", ""business"""
